Epoch	Train Loss	Validation Loss
0	2.6542365049781305	2.4355382132688757
1	2.379637250766403	2.3336038420187064
2	2.3087144740372922	2.285525120848336
3	2.2698678370918324	2.257518650876327
4	2.2439784434854446	2.2385066150804804
5	2.2247905202405573	2.2240075029014985
6	2.2096961319149226	2.212428418105558
7	2.1974292610932173	2.202813919915367
8	2.1871551573000634	2.1946312177417457
9	2.1783700116816878	2.1875958880745703
10	2.1707675351147553	2.1814713818758276
11	2.1640993865632594	2.176058468576668
12	2.158151612392781	2.1711614708932374
13	2.1527516955156933	2.166648829776839
14	2.147788177790482	2.162485355757161
15	2.143190874935838	2.1586560795901812
16	2.138912463967719	2.155152473175037
17	2.134915028674574	2.1519573382267327
18	2.131165141153291	2.1490446867701136
19	2.1276339578745542	2.146384808755902
20	2.124295575211337	2.1439411165329307
21	2.1211267485671867	2.141683246450543
22	2.118112222191601	2.1395851850073107
23	2.1152352805180383	2.137624921975892
24	2.112483372274977	2.1357848047345107
25	2.109845617810323	2.1340514066686023
26	2.1073135491639383	2.1324117204353836
27	2.104880114865152	2.1308550183904322
28	2.102538768938551	2.129377701096665
29	2.1002851064793617	2.1279734115998075
30	2.098114300601566	2.1266364847648003
31	2.096023220175221	2.1253630519349804
32	2.0940098289399662	2.1241492321717437
33	2.0920715113366373	2.122990226498815
34	2.0902068565766068	2.1218806105385326
35	2.0884135631358336	2.120815221300197
36	2.0866892905651033	2.1197893026310983
37	2.0850317906550213	2.118798656500662
38	2.0834391666701007	2.117838544920114
39	2.0819089453477253	2.116903316952411
40	2.08043857647997	2.1159947519871527
41	2.079026029075335	2.1151107188016924
42	2.077666115351482	2.1142491858846246
