Epoch	Train Loss	Validation Loss
0	2.6534520869269325	2.4282382149937596
1	2.367399571660832	2.3148429785954874
2	2.2901866563318296	2.266124015593383
3	2.2515187252741957	2.239813699279219
4	2.226294682137176	2.2212701657215184
5	2.2072174679861343	2.206853225011992
6	2.1922586137215103	2.195404801641455
7	2.179996619300155	2.1859142203856123
8	2.169438904132043	2.177748754544225
9	2.1600533657916703	2.1705052635390754
10	2.151595213385308	2.164020916735479
11	2.1439982063534546	2.158275633658558
12	2.13723209797922	2.1531984814223755
13	2.131174130613115	2.1486399587731215
14	2.12570959955618	2.144514738866895
15	2.1207384056714274	2.140723565752979
16	2.1161644138355733	2.137199060547103
17	2.1119259261122165	2.1338928879183094
18	2.107967104439545	2.130770268798474
19	2.1042421155295647	2.1278020327617524
20	2.100713292257704	2.1249672369799817
21	2.097352608626804	2.122252192359758
22	2.0941392644439474	2.1196495435734253
23	2.0910584907713687	2.1171539596537037
24	2.088098227404302	2.1147625601209707
25	2.085248962211133	2.11247718631083
26	2.0825033856517114	2.11029820615569
27	2.0798557302566816	2.1082260918039575
28	2.077301981085437	2.106260311550921
29	2.0748381699903327	2.104396763430958
30	2.07245936190095	2.102627983600662
31	2.0701617058992494	2.1009529924806203
32	2.067942574514948	2.099371938992728
33	2.0657988429105973	2.0978741987625114
34	2.063727291653852	2.096451096850803
35	2.0617251582930005	2.095095615573683
36	2.059789734110622	2.093800809757823
37	2.0579192084307016	2.0925600952377086
38	2.0561111140263373	2.0913679947076322
39	2.0543630687847476	2.0902193612542934
40	2.0526726285418055	2.0891097995763914
41	2.051037739442596	2.0880356573503085
42	2.049455772929125	2.0869940311415625
43	2.047924430559342	2.085982917421541
44	2.046441088046293	2.0850006041874254
45	2.045003316243629	2.084046346594069
46	2.043609006406716	2.0831191418609447
47	2.042255940541711	2.082218887110587
48	2.0409420858902934	2.0813454273693117
49	2.039665723574288	2.08049908371898
